Player,Pos.,2022 Team,2023 Team,Type,Snaps,Age,Current APY,Guarantees,Re-Sign,Adj Name,Adj Position
Randall Cobb,WR,Packers,Jets,Signed,33.90%,33,"$3,000,000","$250,000",0,Randall Cobb,WR
T.Y. Hilton,WR,Cowboys,,UFA,5.10%,34,"$2,900,000","$600,000",0,T.Y. Hilton,WR
Devin Singletary,RB,Bills,Texans,Signed,65.30%,26,"$2,750,000","$2,500,000",0,Devin Singletary,RB
Austin Hooper,TE,Titans,Raiders,Signed,47.20%,29,"$2,750,000","$2,165,000",0,Austin Hooper,TE
Robert Tonyan,TE,Packers,Bears,Signed,54.00%,29,"$2,650,000","$1,250,000",0,Robert Tonyan,TE
Cethan Carter,TE,Dolphins,,SFA,0.10%,28,"$2,600,000","$2,700,000",0,Cethan Carter,TE
Noah Brown,WR,Cowboys,Texans,Signed,69.50%,27,"$2,600,000","$2,250,000",0,Noah Brown,WR
N'Keal Harry,WR,Bears,,UFA,17.00%,26,"$2,524,587","$8,900,237",0,N'Keal Harry,WR
Rex Burkhead,RB,Texans,,UFA,24.50%,33,"$2,500,000","$2,100,000",0,Rex Burkhead,RB
Mack Hollins,WR,Raiders,Falcons,Signed,93.50%,30,"$2,500,000","$910,000",0,Mack Hollins,WR
Adam Shaheen,TE,Dolphins,,UFA,0.00%,29,"$2,425,000","$3,247,635",0,Adam Shaheen,TE
Brian Hoyer,QB,Patriots,Raiders,Signed,1.40%,38,"$2,250,000","$4,205,000",0,Brian Hoyer,QB
Zach Pascal,WR,Eagles,Cardinals,Signed,28.70%,29,"$2,250,000","$1,500,000",0,Zach Pascal,WR
Ryan Griffin,TE,Bears,,UFA,15.40%,33,"$2,250,000","$750,000",0,Ryan Griffin,TE
