ud_id,full_name,position,team,proj,adp,pos_max_proj,proxy_proj,pff_id,ep,notd_ep,noscramb_ep,notd_noscramb_ep,team_ep,team_ppg,team_fpoe,game_recency,min_ppg,min_ep,min_notd_ep,min_noscramb_ep,min_notd_noscramb_ep,min_team_ep,min_team_ppg,min_team_fpoe,min_game_recency,max_ppg,max_ep,max_notd_ep,max_noscramb_ep,max_notd_noscramb_ep,max_team_ep,max_team_ppg,max_team_fpoe,max_game_recency,ppg
224a04c9-e211-4c32-8d62-e468d7faf506,Seth Williams,WR,DEN,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
f70aaeec-68f4-4556-92d5-71c93f077ee2,Diontae Spencer,WR,DEN,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
525d6d33-bfb0-468f-a41d-c27d4a03ba9d,Geronimo Allison,WR,DET,0,216,17.14,0,11141,4.6647058823529415,3.688894117647059,4.6647058823529415,3.688894117647059,81.04705882352941,82.82941176470588,0.23112893642305424,1,0,0.9,0.9,0.9,0.9,59.5,48.5,-2.9916666666666663,1,13.4,7.8,6.8784,7.8,6.8784,125.80000000000001,134.6,5.236363636363636,1,3.635294117647059
f9d042ae-978b-4983-9cba-1f7302766f90,Malik Taylor,WR,GB,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
c1e45080-d51b-4e01-9350-ba3f370c5330,Chris Conley,WR,HOU,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
9139275a-a2c9-4421-9884-a9108f37efdc,Andre Roberts,WR,HOU,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
adfb4f8f-a8ae-4d59-ae3a-abb27139f69e,Ashton Dulin,WR,IND,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
6dfaedf2-1ead-4789-9dda-3142876e1baf,DeMichael Harris,WR,IND,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
72edc8f8-c1f3-4610-b8da-1819c795695b,Jamal Agnew,WR,JAX,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
b64fa35e-272f-42d4-b459-78207b06ee3f,Phillip Dorsett,WR,JAX,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
ed152246-41d5-465b-89cd-8f550d6cc5e4,Pharoh Cooper,WR,JAX,0,216,17.14,0,10751,3.5588235294117645,3.016564705882353,3.5588235294117645,3.016564705882353,75.1,76.54117647058824,0.0832130124777183,1,0,0.6,0.6,0.6,0.6,48.2,44.7,-3.09,1,11,8.6,7.2,8.6,7.2,91.1,107.3,2.4636363636363634,1,3.1058823529411765
9748d887-bbb9-4ae8-84b5-bf423d38a8d5,Marcus Kemp,WR,KC,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
8825ad56-aa27-46b9-92af-4e3ccd6b4563,Zay Jones,WR,VEG,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
e016df26-7d91-4d08-98f2-a34c7deb0f1e,Caleb Scott,WR,VEG,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
72df26be-b50e-4461-8529-16769265038c,Joe Reed,WR,LAC,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
2c0eb9c8-3985-409d-9aa0-8d26f69ab669,Ben Skowronek,WR,LAR,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
89810dbb-4322-40a4-bd9c-b1f5e570cf99,Nsimba Webster,WR,LAR,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
016420db-c785-473f-9e98-b2b4cbe7ebd1,Jakeem Grant,WR,MIA,0,216,17.14,0,NA,3.91393101202702,3.2228006823862216,3.9394056212504065,3.247638500236134,80.51118973491242,80.12417263719041,-0.051386606226665854,1,-0.4328555651484902,0.36620597955701184,0.3650066524160662,0.3378836615571079,0.3892284378475197,54.712270813138446,44.54717614863186,-2.8274128396603895,1,12.8319841347299,11.008035435498764,8.736336986586526,10.92179554084154,8.685869991010483,107.83246394328646,115.65745635996511,2.9965298401030993,1,NA
