season,player_id,player_name,recent_team,position,pff_id,player,metric,value,metric_cat
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Targets/Gm SD,1.95555000554213,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,AY/Gm,-6.857142857142857,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,AY Std. Dev.,6.347102826149446,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,FP ±,9.95585862088855,Production
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Games 1 SD Over EP,2,Production
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Exp. FP/Gm,19.5,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Expected FP ±,6.5,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,FP vs. Exp.,3,Efficiency
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Gms.,14,Opportunity
2020,00-0033893,Dalvin Cook,MIN,RB,11796,Dalvin Cook,Positive FPVE Rate,0.5714285714285714,Efficiency
